"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","TCB public API","7","0","","0"
"0","","0","TCB site navigation","1","0","","0"
"0","","0","TCB login modal check","1","0","","0"
