"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4950","Redirection to the contact page","","2026-07-13","passed","2026-07-13","","","",""
"","4641","Login with mobile phone","","2026-07-13","passed","2026-07-13","","","",""
